ID	title	language	publisher	region	release_date	serial	version
ULES-00897	Jackass: The Game	English / French / German / Italian / Spanish	Red Mile Entertainment	PAL	2007-09-18	ULES-00897	1.00
ULES-00899	Spider-Man: Friend or Foe	English / Italian	Activision	PAL	2007-08-30	ULES-00899	1.00
ULES-00900	Spider-Man: Friend or Foe	French / Spanish	Activision	PAL	2007-09-29	ULES-00900	1.01
ULES-00901	Spider-Man: Freund oder Feind	German	Activision	PAL	2007-08-30	ULES-00901	1.00
ULES-00902	Dead Head Fred	English	D3 Publisher	PAL	2007-09-05	ULES-00902	1.00
ULES-00903	Dead Head Fred	English / French / German / Italian / Spanish	D3 Publisher	PAL	2007-09-27	ULES-00903	1.00
ULES-00905	Ben 10: Protector of Earth	English	D3 Publisher	PAL	2007-08-22	ULES-00905	1.00
ULES-009055481769	Ben 10: Protector of Earth / ben 10 protector of earth	N/A	N/A	PAL	N/A	ULES-009055481769	N/A
ULES-00906	Ben 10: Protector of Earth	English / French / German / Italian / Spanish	D3 Publisher	PAL	2007-08-22	ULES-00906	1.00
ULES-00909	Puzzle Quest: Challenge of the Warlords	English / French / German / Italian / Spanish	D3 Publisher	PAL	2007-10-10	ULES-00909	1.00
ULES-00910	Sega Rally	English / French / German / Italian / Spanish	SEGA	PAL	2007-08-14	ULES-00910	1.00
ULES-009108432482	Sega Rally / SEGA Rally	N/A	SEGA PUBLISHING EUROPE LIMITED	PAL	2007-08-14	ULES-009108432482	1.00
ULES-00911	Sega Rally	Russian	SEGA	PAL	2007-10-16	ULES-00911	2.00
ULES-00914	King of Clubs	Dutch / English / French / German / Italian / Spanish	Oxygen Games	PAL	2007-10-02	ULES-00914	1.01
ULES-00915	Crash of the Titans	Italian / Spanish	Vivendi Games	PAL	2007-08-25	ULES-00915	1.00
ULES-00916	Crash of the Titans	Dutch / French	Vivendi Games	PAL	2007-09-26	ULES-00916	1.01
ULES-00917	Crash of the Titans	German / Russian	Vivendi Games	PAL	2007-08-25	ULES-00917	1.00
ULES-00918	Crash of the Titans	English	Vivendi Games	PAL	2007-09-26	ULES-00918	1.01
ULES-00920	NBA Live 08	English	Electronic Arts	PAL	2007-09-05	ULES-00920	1.00
ULES-00921	NBA Live 08	English / French / Italian / Spanish	Electronic Arts	PAL	2007-10-11	ULES-00921	1.01
ULES-00924	Warriors of the Lost Empire	English / French / German / Italian / Spanish	Mercury Games	PAL	2007-10-24	ULES-00924	1.01
ULES-00925	Yu-Gi-Oh! GX: Tag Force 2	English / French / German / Italian / Spanish	Konami	PAL	2007-08-24	ULES-00925	1.00
ULES-00927	SWAT: Target Liberty	English	Vivendi Games	PAL	2007-08-03	ULES-00927	1.00
ULES-00928	Juiced 2: Hot Import Nights	English / French / German / Italian / Spanish	THQ	PAL	2007-08-17	ULES-00928	1.00
ULES-00931	WWE SmackDown vs. Raw 2008	English	THQ	PAL	2007-08-31	ULES-00931	1.00
ULES-00932	WWE SmackDown vs. Raw 2008	English / French / German / Italian / Spanish	THQ	PAL	2007-10-01	ULES-00932	1.01
ULES-00934	Football Manager Handheld 2008	English / French / Italian / Spanish	SEGA	PAL	2007-09-26	ULES-00934	1.00
ULES-009348434790	Football Manager Handheld 2008	N/A	N/A	PAL	N/A	ULES-009348434790	N/A
ULES-00938	Spider-Man 3	English / French / German / Italian / Spanish	Activision	PAL	2007-08-13	ULES-00938	1.01
ULES-00939	Indiana Jones and the Staff of Kings	English / French / German / Italian / Spanish	Lucas Arts	PAL	2007-10-22	ULES-00939	1.00
ULES-00940	Sonic Rivals 2	English / French / German / Italian / Spanish	SEGA	PAL	2007-10-19	ULES-00940	1.01
ULES-00945	The Sims 2: Castaway	Dutch / English / French / German / Italian / Portuguese / Spanish	Electronic Arts	PAL	2007-09-07	ULES-00945	1.00
ULES-00950	The Golden Compass	Danish / Dutch / English / Norwegian / Swedish	SEGA	PAL	2007-11-09	ULES-00950	1.00
ULES-00951	À la croisée des mondes: La Boussole d'or	French	SEGA	PAL	2007-11-07	ULES-00951	1.00
ULES-00952	Der Goldene Kompass	German	SEGA	PAL	2007-11-07	ULES-00952	1.00
