ID	title	language	region	release_date	serial
DOL-GDLP-EUR	Disney Sports: Basketball	English / French / German / Italian / Spanish	PAL	2003-08-08	DOL-GDLP-EUR
DOL-GDME-USA	Disney's Magical Mirror Starring Mickey Mouse	English	NTSC-U	2002	DOL-GDME-USA
DOL-GDMJ-JPN	Disney's Mickey Mouse no Fushigi na Kagami	Japanese	NTSC-J	2002-08-09	DOL-GDMJ-JPN
DOL-GDMP-EUR	Disney's Magical Mirror Starring Mickey Mouse	English / French / German / Italian / Spanish	PAL	2002	DOL-GDMP-EUR
DOL-GDNJ-JPN	Dokapon DX: Wataru Sekai wa Oni Darake	Japanese	NTSC-J	2003-04-10	DOL-GDNJ-JPN
DOL-GDOP-EUR	Disney's Donald Duck PK	English / French / German / Italian / Spanish	PAL	2002-11-29	DOL-GDOP-EUR
DOL-GDPJ-JPN	Mr. Driller: Drill Land	Japanese	NTSC-J	2002-12-20	DOL-GDPJ-JPN
DOL-GDQE-USA	Darkened Skye	English	NTSC-U	2002-11-15	DOL-GDQE-USA
DOL-GDQP-EUR	Darkened Skye	English / French / German	PAL	2002-11-15	DOL-GDQP-EUR
DOL-GDRE-USA	Dead to Rights	English	NTSC-U	2002-11-25	DOL-GDRE-USA
DOL-GDRP-EUR	Dead to Rights	English / French / Italian / Spanish	PAL	2002-11-25	DOL-GDRP-EUR
DOL-GDSE-USA	Dark Summit	English	NTSC-U	2002-02-05	DOL-GDSE-USA
DOL-GDSP-EUR	Dark Summit	English / French / German	PAL	2002-02-05	DOL-GDSP-EUR
DOL-GDTE-USA	Def Jam: Vendetta	English	NTSC-U	2003-04-02	DOL-GDTE-USA
DOL-GDTP-NOE	Def Jam: Vendetta	English	PAL	2003-04-02	DOL-GDTP-NOE
DOL-GDTP-UKV	Def Jam: Vendetta	English	PAL	2003-04-02	DOL-GDTP-UKV
DOL-GDUJ-JPN	Duel Masters: Nettou! Battle Arena	Japanese	NTSC-J	2003-12-18	DOL-GDUJ-JPN
DOL-GDVE-USA	Driven	English / French / German / Italian / Spanish	NTSC-U	2002-03-26	DOL-GDVE-USA
DOL-GDVP-EUR	Driven	English / French / German / Italian / Spanish	PAL	2002-03-26	DOL-GDVP-EUR
DOL-GDWE-USA	Disney Sports: Football	English	NTSC-U	2002-12-08	DOL-GDWE-USA
DOL-GDWJ-JPN	Disney Sports: American Football	Japanese	NTSC-J	2002-12-12	DOL-GDWJ-JPN
DOL-GDXE-USA	Disney Sports: Skateboarding	English	NTSC-U	2002-11-17	DOL-GDXE-USA
DOL-GDXJ-JPN	Disney Sports: Skateboarding	Japanese	NTSC-J	2002-09-19	DOL-GDXJ-JPN
DOL-GDXP-EUR	Disney Sports: Skateboarding	English / French / German / Italian / Spanish	PAL	2003-03-07	DOL-GDXP-EUR
DOL-GE3E-USA	Midway Arcade Treasures 3	English	NTSC-U	2005-10-24	DOL-GE3E-USA
DOL-GE4E-USA	4x4 Evo 2	English	NTSC-U	2002-09-10	DOL-GE4E-USA
DOL-GE5E-USA	TMNT: Mutant Melee	English	NTSC-U	2005-03-16	DOL-GE5E-USA
DOL-GE6J-JPN	Eisei Meijin VI	Japanese	NTSC-J	2002-09-26	DOL-GE6J-JPN
DOL-GE9E-USA	Ed, Edd n Eddy: The Mis-Edventures	English / French	NTSC-U	2005-10-25	DOL-GE9E-USA
DOL-GEAE-USA	Skies of Arcadia Legends	English	NTSC-U	2003-01-27	DOL-GEAE-USA
DOL-GEAJ-JPN	Eternal Arcadia Legends	Japanese	NTSC-J	2002-12-26	DOL-GEAJ-JPN
DOL-GEAP-EUR	Skies of Arcadia Legends	English / French / German / Spanish	PAL	2003-05-23	DOL-GEAP-EUR
DOL-GEBE-USA	Evolution Snowboarding	English	NTSC-U	2003-03-31	DOL-GEBE-USA
DOL-GEBP-EUR	Evolution Snowboarding	English / French / German	PAL	2003-03-31	DOL-GEBP-EUR
DOL-GEDE-USA	Eternal Darkness: Sanity's Requiem	English	NTSC-U	2002	DOL-GEDE-USA
DOL-GEDJ-JPN	Eternal Darkness: Manekareta 13-nin	Japanese	NTSC-J	2002-10-25	DOL-GEDJ-JPN
