ID	title	region	serial
LA-H-A2LSA-USA	Tin Hearts	USA	LA-H-A2LSA-USA
LA-H-A2LSB-JPN	Tin Hearts	JPN	LA-H-A2LSB-JPN
LA-H-A2LUA-USA	Monster Train: First Class	USA	LA-H-A2LUA-USA
LA-H-A2LWA-EUR	World War Z	EUR	LA-H-A2LWA-EUR
LA-H-A2LWA-USA	World War Z	USA	LA-H-A2LWA-USA
LA-H-A2MXA-USA	Curse of the Sea Rats	USA	LA-H-A2MXA-USA
LA-H-A2N4A-EUR	Super Sports Blast	EUR	LA-H-A2N4A-EUR
LA-H-A2N7A-USA	Tormented Souls	USA	LA-H-A2N7A-USA
LA-H-A2N9A-USA	Ryan’s Rescue Squad	USA	LA-H-A2N9A-USA
LA-H-A2NAB-EUR	Among Us Crewmate Edition	EUR	LA-H-A2NAB-EUR
LA-H-A2NAB-USA	Among Us Crewmate Edition	USA	LA-H-A2NAB-USA
LA-H-A2P3A-USA	Hoa	USA	LA-H-A2P3A-USA
LA-H-A2QKA-EUR	Golden Force	EUR	LA-H-A2QKA-EUR
LA-H-A2QKA-USA	Golden Force	USA	LA-H-A2QKA-USA
LA-H-A2QXA-EUR	Very Very Valet	EUR	LA-H-A2QXA-EUR
LA-H-A2R3B-USA	Dragon Star VARNIR	USA	LA-H-A2R3B-USA
LA-H-A2R4B-USA	The Silver Case 2425	USA	LA-H-A2R4B-USA
LA-H-A2R8A-USA	Astalon: Tears of the Earth	USA	LA-H-A2R8A-USA
LA-H-A2RYA-EUR	Snowrunner	EUR	LA-H-A2RYA-EUR
LA-H-A2RYA-USA	Snowrunner	USA	LA-H-A2RYA-USA
LA-H-A2S3C-JPN	Alba: A Wildlife Adventure	JPN	LA-H-A2S3C-JPN
LA-H-A2SYA-EUR	A Tale of Synapse: The Chaos Theories	EUR	LA-H-A2SYA-EUR
LA-H-A2TKA-USA	King's Bounty II	USA	LA-H-A2TKA-USA
LA-H-A2U8A-ASI	Dungeon Encounters	ASI	LA-H-A2U8A-ASI
LA-H-A2UUA-USA	Okinawa Rush	USA	LA-H-A2UUA-USA
LA-H-A2V2A-EUR	Tactics Ogre Reborn	EUR	LA-H-A2V2A-EUR
LA-H-A2V2A-JPN	Tactics Ogre Reborn	JPN	LA-H-A2V2A-JPN
LA-H-A2V2A-USA	Tactics Ogre Reborn	USA	LA-H-A2V2A-USA
LA-H-A2VGA-USA	Corpse Killer	USA	LA-H-A2VGA-USA
LA-H-A2VQA-USA	Kitaria Fables	USA	LA-H-A2VQA-USA
LA-H-A2W4A-EUR	Cruis'n Blast	EUR	LA-H-A2W4A-EUR
